"realtime","endtime","eating","drinking","cohort","day","mouse"
80,81,0,0,37,1,8
80,81,0,0,37,1,9
81,82,0,0,37,1,1
81,82,0,0,37,1,10
81,82,0,0,37,1,11
81,82,1,0,37,1,12
81,82,0,0,37,1,2
81,82,0,1,37,1,3
81,82,0,0,37,1,4
81,82,0,0,37,1,5
81,82,0,0,37,1,6
81,82,0,0,37,1,7
81,82,1,0,37,1,8
81,82,0,0,37,1,9
82,83,0,0,37,1,1
82,83,0,0,37,1,10
82,83,0,0,37,1,11
82,83,1,0,37,1,12
82,83,0,0,37,1,2
82,83,0,0,37,1,3
82,83,1,0,37,1,4
82,83,0,0,37,1,5
