"Timestamp","Actor","Behavior","Recipient","Location","Observer","Comment"
"8/27/2015 13:08:13","2","Fighting","4","NB4","CW",""
"8/27/2015 13:21:37","8","Chasing","10","UL, UR","CW",""
"8/27/2015 13:25:32","2","Fighting, Chasing","6","UL, ML, LL, UR, NB1, NB4, NB5","CW",""
"8/27/2015 13:30:12","2","Fighting","11","UR, MR","CW",""
"8/27/2015 13:38:22","2","Chasing","9","UR, MR","CW",""
"8/27/2015 13:42:18","2","Fighting","10","NB4, NB5","CW",""
"8/27/2015 13:44:52","2","Fighting","10","UR, MR","CW",""
"8/27/2015 13:45:01","2","Fighting","4","UL","CW",""
"8/27/2015 13:57:28","4","Chasing","5","UL, ML","CW",""
"8/27/2015 14:00:08","End","End","End","End","CW",""
"8/28/2015 13:05:53","Start","Start","Start","Start","CW",""
"8/28/2015 13:10:09","2","Fighting","12","NB1","CW",""
"8/28/2015 13:15:29","2","Fighting, Chasing","4","UL, UR","CW",""
"8/28/2015 13:15:38","2","Fighting, Chasing","1","UR, MR","CW",""
"8/28/2015 13:16:38","2","Fighting","7","NB4","CW",""
"8/28/2015 13:22:02","2","Fighting","11","ML","CW",""
"8/28/2015 13:23:12","2","Fighting","1","MR","CW",""
"8/28/2015 13:32:02","9","Fighting, Chasing","7","MR, LR, NB3, NB4","CW",""
"8/28/2015 13:32:27","8","Chasing","12","UL, ML","CW",""
"8/28/2015 13:33:03","8","Chasing","9","MR, LR","CW",""
"8/28/2015 13:35:50","2","Fighting","7","UL","CW",""
"8/28/2015 13:36:02","2","Chasing","12","UL, UR, MR","CW",""
"8/28/2015 13:39:00","2","Fighting","5","NB3","CW",""
"8/28/2015 13:48:20","2","Fighting, Chasing","8","ML, LL, NB1, NB2, NB4, NB5","CW",""
"8/28/2015 13:49:35","2","Chasing","4","UL, UR","CW",""
"8/28/2015 13:56:53","2","Fighting","9","UR","CW",""
"8/28/2015 13:59:13","2","Fighting","4","NB3","CW",""
"8/28/2015 14:00:39","End","End","End","End","CW",""
"8/28/2015 16:04:37","Start","Start","Start","Start","BN",""
"8/28/2015 16:36:47","2","Fighting, Chasing","8","UR","BN","A few fights before this uin nb4. Could not ID mice "
"8/28/2015 16:38:33","2","Fighting","5","NB5","BN",""
"8/28/2015 16:40:17","2","Fighting","6","NB5","BN",""
"8/28/2015 16:41:56","2","Chasing","8","UL","BN",""
"8/28/2015 16:44:19","8","Fighting","4","NB3","BN",""
"8/28/2015 16:44:40","2","Fighting","4","LR","BN","4 is in tube "
"8/28/2015 16:45:37","2","Induce-flee","8","LR","BN",""
"8/28/2015 16:49:13","2","Fighting","10","UR","BN",""
"8/28/2015 16:52:35","2","Fighting","8","LR","BN",""
"8/28/2015 16:55:11","2","Fighting","4","UR","BN",""
"8/28/2015 17:01:00","End","End","End","End","BN",""
"8/29/2015 11:59:56","Start","Start","Start","Start","WL",""
"8/29/2015 12:12:01","8","Chasing","1","UR","WL","6 has huge scar on its back. Poor 6."
"8/29/2015 12:15:42","8","Chasing, Mounting","5","UL","WL",""
"8/29/2015 12:16:02","2","Fighting, Chasing","6","LL","WL",""
"8/29/2015 12:17:07","2","Chasing","8","UR","WL",""
"8/29/2015 12:22:48","2","Fighting, Chasing","6","NB5","WL",""
"8/29/2015 12:26:01","2","Fighting","4","UR","WL",""
"8/29/2015 12:27:54","2","Fighting, Chasing","1","NB3","WL",""
"8/29/2015 12:32:09","2","Fighting, Chasing","10","UR","WL",""
"8/29/2015 12:32:17","2","Fighting, Chasing","9","UR","WL",""
"8/29/2015 12:33:40","2","Chasing","4","LR","WL",""
"8/29/2015 12:42:37","2","Chasing","11","LR","WL",""
"8/29/2015 12:45:55","2","Induce-flee","3","NB5","WL",""
"8/29/2015 12:48:49","2","Chasing","4, 9","UL","WL",""
"8/29/2015 12:48:57","2","Fighting","12","UR","WL",""
"8/29/2015 12:49:19","2","Chasing","9","UR","WL",""
"8/29/2015 12:49:39","2","Fighting, Chasing","7","UL","WL",""
"8/29/2015 12:55:43","5","Chasing","3","UL","WL","3 was holding huge chunk of food"
"8/29/2015 12:56:23","2","Induce-flee","4","UL","WL",""
