Timestamp,Actor,Behavior,Recipient,Location,Observer,Comment,Outside assigned observation time
8/22/2015 17:45:15,Start,Start,Start,Start,WL,,
8/22/2015 17:48:33,4,"Fighting, Chasing",2,LL,WL,,
8/22/2015 17:49:04,8,"Fighting, Chasing",7,MR,WL,,
8/22/2015 17:52:15,8,"Fighting, Chasing",5,MR,WL,,
8/22/2015 17:53:36,8,"Fighting, Chasing",5,MR,WL,,
8/22/2015 17:54:37,8,"Fighting, Chasing",1,UR,WL,,
8/22/2015 17:55:38,8,Fighting,9,NB4,WL,,
8/22/2015 17:55:51,8,"Fighting, Chasing",12,NB4,WL,,
8/22/2015 17:56:55,4,Subordinate,5,ML,WL,,
8/22/2015 17:57:34,8,Chasing,5,MR,WL,,
8/22/2015 17:57:58,8,"Fighting, Chasing, Subordinate",3,UL,WL,,
8/22/2015 17:58:13,8,Chasing,2,ML,WL,,
8/22/2015 17:59:56,8,"Fighting, Chasing",1,LL,WL,,
8/22/2015 18:01:06,8,Chasing,12,LR,WL,,
8/22/2015 18:03:05,8,Chasing,5,NB1,WL,,
8/22/2015 18:03:54,3,"Fighting, Chasing",2,NB2,WL,,
8/22/2015 18:04:53,4,"Fighting, Subordinate",3,NB2,WL,,
8/22/2015 18:06:46,8,Subordinate,1,UR,WL,,
8/22/2015 18:08:28,8,Chasing,12,MR,WL,,
8/22/2015 18:10:44,8,Subordinate,5,UR,WL,,
8/22/2015 18:11:42,8,"Fighting, Chasing",1,UR,WL,,
8/22/2015 18:13:30,8,Chasing,6,UR,WL,,
8/22/2015 18:15:54,8,Subordinate,1,NB3,WL,,
8/22/2015 18:19:09,8,Chasing,4,LL,WL,,
8/22/2015 18:19:38,8,"Fighting, Chasing",4,LL,WL,,
8/22/2015 18:20:24,8,Chasing,6,LL,WL,,
8/22/2015 18:32:01,8,"Fighting, Chasing, Subordinate",12,NB3,WL,,
8/22/2015 18:37:09,8,Fighting,7,NB5,WL,,
8/22/2015 18:37:29,8,"Fighting, Chasing",6,NB5,WL,,
8/22/2015 18:45:16,End,End,End,End,WL,,
8/23/2015 16:01:05,Start,Start,Start,Start,BN,,
8/23/2015 16:04:11,8,Fighting,11,NB3,BN,,
8/23/2015 16:09:12,8,Chasing,12,LR,BN,,
8/23/2015 16:11:29,8,Fighting,6,UL,BN,,
8/23/2015 16:13:41,8,Subordinate,3,UL,BN,,
8/23/2015 16:18:25,12,Chasing,6,MR,BN,,
8/23/2015 16:20:48,8,Fighting,6,MR,BN,,
8/23/2015 16:22:44,8,Fighting,11,NB2,BN,,
8/23/2015 16:27:08,7,Subordinate,4,NB3,BN,,
8/23/2015 16:28:02,8,Fighting,"6, 10, 12",UL,BN,,
8/23/2015 16:29:12,12,Induce-flee,5,LL,BN,,
8/23/2015 16:33:03,2,Fighting,6,UL,BN,,
8/23/2015 16:34:34,8,Induce-flee,6,MR,BN,,
8/23/2015 16:35:05,7,Subordinate,4,UR,BN,,
8/23/2015 16:36:14,8,Fighting,12,MR,BN,,
8/23/2015 16:44:16,2,Fighting,10,UL,BN,,
8/23/2015 16:45:39,10,Fighting,7,UL,BN,,
8/23/2015 16:55:58,8,Fighting,6,ML,BN,,
8/23/2015 16:56:16,8,Fighting,12,MR,BN,,
8/23/2015 16:56:50,2,Chasing,9,UL,BN,,
8/23/2015 16:57:28,8,Chasing,9,MR,BN,,
8/23/2015 16:58:08,8,"Fighting, Chasing",6,ML,BN,,
8/23/2015 16:58:30,8,Fighting,6,NB3,BN,,
8/23/2015 16:59:45,8,Chasing,12,LL,BN,,
8/23/2015 17:00:24,End,End,End,End,BN,,
8/24/2015 14:59:07,Start,Start,Start,Start,WL,,
8/24/2015 15:01:38,8,Fighting,12,LL,WL,,
8/24/2015 15:02:04,8,Fighting,3,NB5,WL,,
8/24/2015 15:04:08,8,Chasing,"4, 9",LL,WL,,
8/24/2015 15:08:32,10,"Fighting, Chasing",7,ML,WL,,
8/24/2015 15:08:49,8,"Chasing, Subordinate",10,MR,WL,,
8/24/2015 15:09:11,8,Chasing,7,LL,WL,,
8/24/2015 15:13:59,8,Subordinate,10,ML,WL,,
