"realtime","subject","side","cohort","day"
343,"M2","left",39,22
343,"M10","left",39,22
344,"M10","left",39,22
344,"M9","right",39,22
345,"M3","right",39,22
345,"M9","right",39,22
346,"M11","left",39,22
346,"M12","left",39,22
346,"M3","right",39,22
346,"M9","right",39,22
346,"M10","right",39,22
346,"M12","right",39,22
347,"M11","left",39,22
347,"M9","right",39,22
347,"M12","right",39,22
348,"M9","left",39,22
348,"M11","left",39,22
348,"M11","right",39,22
349,"M2","left",39,22
349,"M11","left",39,22
349,"M11","right",39,22
350,"M9","right",39,22
351,"M5","left",39,22
351,"M9","right",39,22
352,"M5","left",39,22
353,"M5","left",39,22
354,"M4","left",39,22
354,"M5","left",39,22
354,"M5","right",39,22
355,"M5","left",39,22
355,"M4","right",39,22
355,"M5","right",39,22
355,"M12","right",39,22
357,"M11","right",39,22
359,"M3","left",39,22
359,"M10","left",39,22
359,"M4","right",39,22
360,"M4","left",39,22
360,"M10","left",39,22
360,"M1","right",39,22
360,"M3","right",39,22
361,"M4","left",39,22
361,"M3","right",39,22
362,"M3","right",39,22
362,"M6","right",39,22
362,"M10","right",39,22
363,"M6","left",39,22
363,"M8","left",39,22
363,"M3","right",39,22
363,"M6","right",39,22
364,"M6","left",39,22
364,"M7","left",39,22
364,"M8","left",39,22
364,"M11","right",39,22
365,"M6","left",39,22
365,"M7","left",39,22
365,"M8","left",39,22
365,"M3","right",39,22
365,"M7","right",39,22
366,"M6","left",39,22
366,"M8","left",39,22
366,"M7","right",39,22
367,"M8","left",39,22
367,"M6","right",39,22
367,"M7","right",39,22
368,"M3","left",39,22
368,"M7","left",39,22
368,"M7","right",39,22
368,"M12","right",39,22
371,"M12","right",39,22
373,"M6","right",39,22
374,"M7","left",39,22
375,"M7","left",39,22
376,"M4","left",39,22
376,"M7","left",39,22
377,"M4","left",39,22
377,"M6","left",39,22
377,"M7","left",39,22
377,"M6","right",39,22
378,"M4","left",39,22
378,"M7","left",39,22
380,"M7","left",39,22
380,"M6","right",39,22
381,"M1","left",39,22
382,"M8","left",39,22
383,"M6","left",39,22
383,"M8","left",39,22
383,"M12","left",39,22
384,"M10","left",39,22
385,"M1","left",39,22
385,"M6","left",39,22
385,"M8","left",39,22
385,"M9","right",39,22
385,"M10","right",39,22
386,"M8","left",39,22
386,"M9","right",39,22
386,"M10","right",39,22
386,"M11","right",39,22
387,"M9","left",39,22
387,"M1","right",39,22
387,"M9","right",39,22
387,"M10","right",39,22
387,"M12","right",39,22
388,"M1","right",39,22
388,"M3","right",39,22
388,"M9","right",39,22
388,"M11","right",39,22
388,"M12","right",39,22
389,"M10","left",39,22
389,"M1","right",39,22
389,"M3","right",39,22
389,"M9","right",39,22
390,"M1","right",39,22
390,"M10","right",39,22
390,"M11","right",39,22
391,"M1","left",39,22
391,"M11","right",39,22
393,"M11","right",39,22
394,"M12","right",39,22
395,"M3","right",39,22
396,"M1","left",39,22
396,"M10","right",39,22
397,"M1","left",39,22
398,"M1","left",39,22
398,"M8","left",39,22
398,"M10","right",39,22
399,"M1","left",39,22
399,"M8","left",39,22
399,"M12","left",39,22
399,"M10","right",39,22
400,"M8","left",39,22
400,"M1","right",39,22
400,"M10","right",39,22
401,"M1","left",39,22
401,"M9","left",39,22
401,"M12","left",39,22
402,"M8","left",39,22
403,"M1","left",39,22
404,"M1","left",39,22
405,"M1","left",39,22
405,"M6","left",39,22
406,"M1","left",39,22
407,"M1","left",39,22
409,"M9","right",39,22
410,"M3","right",39,22
410,"M9","right",39,22
411,"M3","right",39,22
411,"M9","right",39,22
412,"M1","left",39,22
412,"M3","right",39,22
412,"M9","right",39,22
414,"M12","right",39,22
415,"M1","left",39,22
416,"M1","left",39,22
418,"M10","left",39,22
418,"M11","left",39,22
420,"M3","right",39,22
422,"M1","left",39,22
422,"M3","right",39,22
424,"M10","right",39,22
425,"M9","left",39,22
425,"M11","left",39,22
426,"M10","right",39,22
427,"M9","left",39,22
428,"M9","left",39,22
429,"M3","left",39,22
429,"M11","right",39,22
430,"M4","left",39,22
430,"M10","left",39,22
430,"M11","right",39,22
431,"M3","left",39,22
431,"M4","left",39,22
431,"M10","left",39,22
431,"M11","left",39,22
431,"M3","right",39,22
431,"M11","right",39,22
432,"M10","left",39,22
433,"M3","right",39,22
433,"M10","right",39,22
434,"M1","left",39,22
434,"M4","left",39,22
434,"M3","right",39,22
434,"M10","right",39,22
435,"M1","left",39,22
435,"M4","left",39,22
436,"M1","left",39,22
436,"M3","left",39,22
436,"M4","left",39,22
437,"M4","left",39,22
437,"M11","left",39,22
438,"M11","left",39,22
439,"M11","right",39,22
440,"M12","left",39,22
442,"M1","left",39,22
442,"M12","right",39,22
443,"M11","right",39,22
445,"M9","left",39,22
445,"M9","right",39,22
446,"M12","right",39,22
447,"M11","right",39,22
448,"M4","right",39,22
448,"M11","right",39,22
448,"M12","right",39,22
449,"M4","left",39,22
449,"M11","right",39,22
449,"M12","right",39,22
450,"M12","right",39,22
451,"M4","right",39,22
452,"M4","right",39,22
453,"M4","right",39,22
453,"M11","right",39,22
454,"M12","left",39,22
454,"M10","right",39,22
455,"M10","left",39,22
457,"M10","left",39,22
458,"M10","left",39,22
459,"M10","left",39,22
464,"M2","right",39,22
464,"M10","right",39,22
465,"M2","left",39,22
465,"M2","right",39,22
466,"M2","left",39,22
467,"M2","right",39,22
468,"M2","right",39,22
469,"M2","left",39,22
469,"M2","right",39,22
472,"M2","left",39,22
472,"M2","right",39,22
473,"M2","left",39,22
474,"M2","left",39,22
475,"M2","left",39,22
476,"M2","left",39,22
478,"M2","left",39,22
483,"M7","left",39,22
488,"M7","left",39,22
489,"M7","left",39,22
489,"M12","right",39,22
490,"M7","left",39,22
490,"M12","right",39,22
491,"M7","left",39,22
492,"M12","left",39,22
494,"M7","left",39,22
494,"M12","left",39,22
495,"M7","left",39,22
495,"M12","left",39,22
496,"M7","left",39,22
496,"M12","left",39,22
497,"M7","left",39,22
497,"M12","left",39,22
497,"M12","right",39,22
498,"M7","left",39,22
498,"M12","right",39,22
499,"M7","left",39,22
500,"M7","left",39,22
501,"M12","left",39,22
501,"M12","right",39,22
505,"M3","right",39,22
507,"M6","right",39,22
508,"M6","left",39,22
508,"M10","left",39,22
508,"M6","right",39,22
508,"M10","right",39,22
509,"M6","left",39,22
509,"M10","left",39,22
510,"M6","left",39,22
511,"M6","right",39,22
514,"M6","right",39,22
514,"M7","right",39,22
516,"M6","right",39,22
518,"M10","right",39,22
529,"M10","left",39,22
529,"M10","right",39,22
539,"M3","left",39,22
540,"M3","right",39,22
540,"M11","right",39,22
541,"M11","left",39,22
541,"M3","right",39,22
541,"M9","right",39,22
542,"M3","left",39,22
542,"M9","right",39,22
542,"M10","right",39,22
542,"M11","right",39,22
543,"M3","left",39,22
543,"M9","right",39,22
543,"M10","right",39,22
543,"M11","right",39,22
544,"M2","right",39,22
544,"M10","right",39,22
545,"M3","left",39,22
545,"M2","right",39,22
546,"M2","right",39,22
546,"M7","right",39,22
547,"M5","left",39,22
547,"M2","right",39,22
548,"M2","right",39,22
548,"M9","right",39,22
548,"M10","right",39,22
549,"M1","left",39,22
550,"M1","left",39,22
551,"M1","left",39,22
551,"M10","right",39,22
551,"M11","right",39,22
552,"M1","left",39,22
552,"M5","left",39,22
552,"M9","left",39,22
552,"M11","right",39,22
553,"M5","left",39,22
554,"M3","right",39,22
555,"M5","left",39,22
555,"M9","left",39,22
555,"M12","left",39,22
555,"M2","right",39,22
555,"M11","right",39,22
556,"M11","right",39,22
557,"M3","right",39,22
557,"M11","right",39,22
558,"M3","right",39,22
558,"M11","right",39,22
558,"M12","right",39,22
559,"M3","right",39,22
559,"M6","right",39,22
559,"M9","right",39,22
559,"M11","right",39,22
