realtime,subject,side,cohort,day
1297,M4,right,37,1
1298,M4,right,37,1
1302,M2,right,37,1
1306,M2,right,37,1
1308,M2,right,37,1
1323,M8,right,37,1
1324,M8,right,37,1
1325,M4,right,37,1
1327,M4,right,37,1
1328,M8,right,37,1
1329,M8,right,37,1
1331,M8,right,37,1
1332,M8,right,37,1
1333,M8,right,37,1
1334,M8,right,37,1
1335,M8,right,37,1
1337,M4,right,37,1
1338,M4,right,37,1
1341,M4,right,37,1
1343,M8,right,37,1
1349,M2,right,37,1
1350,M2,right,37,1
1360,M10,right,37,1
1365,M2,right,37,1
1371,M2,right,37,1
1372,M7,right,37,1
1373,M7,right,37,1
1375,M11,right,37,1
1375,M1,right,37,1
1376,M11,right,37,1
1376,M1,right,37,1
1377,M1,right,37,1
1377,M11,right,37,1
1378,M11,right,37,1
1379,M11,right,37,1
1380,M11,right,37,1
1381,M11,right,37,1
1388,M2,right,37,1
1390,M2,right,37,1
1394,M4,right,37,1
1395,M2,right,37,1
1395,M4,right,37,1
1400,M4,right,37,1
1400,M9,right,37,1
1401,M9,right,37,1
1404,M2,right,37,1
1405,M2,right,37,1
1408,M2,right,37,1
1422,M2,right,37,1
1423,M2,right,37,1
1425,M2,right,37,1
1428,M2,right,37,1
1433,M3,right,37,1
1434,M4,right,37,1
1434,M3,right,37,1
1435,M4,right,37,1
1437,M3,right,37,1
1438,M4,right,37,1
1438,M3,right,37,1
1440,M3,right,37,1
