Hour,Start (minute),Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8,Mouse 9,Mouse 10,Mouse 11,Mouse 12,Light
5,3,,,,,,,,,,,,,
5,4,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,
5,6,,,,,,,,,,,,,
5,7,,,,,,,,,,,,,
5,8,,,,,,,,,,,,,
5,9,,,,,,,,,,,,,
5,10,,,,,,,,,,,,,
5,11,,,,,,,,,,,,,
5,12,,,,,,,,,,,,,
5,13,,,,,,,,,,,,,
5,14,,,,,,,,,,,,,
5,15,,,,,,,,,,,,,
5,16,,,,,,,,,,,,,
5,17,,,,,,,,,,d,,,
5,18,,,,,,,,,,,,,
5,19,,,,,,,,,,,,,
5,20,,,,,,,,,,,,,
5,21,,,,,,,,,,e,,,
5,22,,,,,,,,,,e,,,
5,23,,,,,,,,,,,,,
5,24,,,,,,,,,,d,,,
5,25,,,,,,,,,,,,,
5,26,,,,,,"e, d",,,,,"d, e",,
5,27,,,,,,,,,,,e,,
5,28,,,,,,,,e,,,e,,
5,29,,,,,,,,e,,,e,,
5,30,,,,,"d, e",,,e,,,,,
5,31,,e,,,,"d, e",,,,,,,
5,32,,e,,,,"d, e",,"e, d",,,,,
5,33,,"e, d",,,,e,,e,,,,,
5,34,,,,,,e,e,e,,,,,
5,35,,,,,e,e,"e, d",e,,,,,
5,36,,e,,,,e,e,e,,,,,
5,37,,,,,,e,e,e,,,,,
5,38,,,,,,,,,,"e, d",,,
5,39,,,,,,,e,"e, d",,,,,
5,40,,,,,,,e,,,,,,
5,41,,,,,,,e,,,,,,
5,42,,,,,,,"e, d",,,,,,
5,43,,,,,"d, e",,d,,,,,,
5,44,,,,,e,,,,,,,,
5,45,,,,,e,,,,,,,,
5,46,,,,,e,,,,,,,,
5,47,,,,,"e, d",,,,,,,,
5,48,,,,,,,,,,,,,
5,49,,e,,,,,,,,,,,
5,50,,e,,,d,,,e,,,,,
5,51,,,,,d,,,e,,,,,
5,52,,e,,,,,,e,,e,,,
5,53,,,,,,"e, d",,e,,e,,,
5,54,,,,,,"d, e",,e,,,,,
5,55,,,,,,e,,"e, d",,,,,
5,56,,e,,,,e,,e,,,,,
5,57,,,,,,e,,e,,,,,
5,58,,,,,"e, d",e,,"e, d",,e,,,
5,59,,,,,e,e,,,,e,,,
6,0,e,,,,e,e,,,,e,,,
6,1,,,,,,e,,,,,,,
6,2,,,,,,"e, d",,,,,,,
6,3,,,,,e,e,,,,,,,
6,4,,,,,e,e,,,,,,,
6,5,,,,,,,,,,,,,
6,6,,,,,,,e,,,,,,
6,7,,,,,d,,e,,,,,,
6,8,,,,,d,,e,,,,,,
6,9,,,,,,,,,,,,,
6,10,e,,,,e,d,,,,,,,
6,11,e,,,,e,"d, e",,,,,,,
6,12,e,,,,d,e,,,,,,,
6,13,e,,,,,e,,,,,,,
6,14,e,,,,,e,,,,,,,
6,15,e,,,,,e,,,,,,,
6,16,e,,,,,e,,,,d,,e,
6,17,e,,,,,"e, d",,,,e,,e,
6,18,e,,,,,e,"d, e",,,,e,,
6,19,"e, d",,,,,e,,,,,e,,
6,20,,,,,,e,e,"d, e",,,e,,
6,21,,,,e,d,e,e,"e, d",,,,,
6,22,,,,e,e,e,e,,,,,"e, d",
6,23,,,,e,e,e,e,,,,,e,
6,24,,,,e,e,,e,,,,,e,
6,25,,,,e,"e, d",,e,,,,,e,
6,26,,,,"e, d",,,e,,,,,"e, d",
6,27,,,,"d, e",,,e,,,,,,
6,28,,,,e,,e,,,,,,,
6,29,,,,e,,e,,,,,,,
6,30,,,,e,,e,,,,,,,
6,31,,,,e,,e,,,,,,,
6,32,,,,e,,"e, d",,,,,,,
6,33,,,,e,,,,,,,,,
6,34,,,,e,,,,,,,,,
6,35,,,,e,,,,,,,,,
6,36,,,,e,,,,,,,,,
6,37,,,,"e, d",,,,,,e,,,
6,38,,,,e,,,,,,,,,
6,39,,,,e,,,,,,,,,
6,40,,,,e,,,,,,,,,
6,41,,,,e,,,,"d, e",,,,,
6,42,,,,e,,,,e,,,,,
6,43,,,,,,,,e,,,,,
6,44,,,,,,,,e,,,,,
6,45,,,,,,,,e,,,,,
6,46,,,,,,,,,,,,,
6,47,,,,,,,,,,,,,
6,48,,,,,,,,d,,,,,
6,49,,,,,,,e,,,,,,
6,50,,,,,,,e,,,,,,
6,51,,,,,,,e,,,,,,
6,52,,,,,,,e,,,,,,
6,53,,,,,,,"e, d",,,,,,
6,54,,,,,,,,,,,,,
6,55,,,,,,,"d, e",,,,,,
6,56,,,,,,,e,,,,,,
6,57,,,,,,,e,,,,,,
6,58,,,,,,,e,,,,,,
6,59,,,,,,,e,,,,,,
7,0,,,,,,,e,,,,,,
7,1,,,,,,,,,,,,,
7,2,,,,,,,,,,,,,
7,3,,,,,,,,,,,,,
7,4,,,,,,,,,,,,,
7,5,,,,,,,,,,,,,
7,6,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,
7,8,,,,,,,,,,,,,
7,9,,,,,,,,,,,,,
7,10,,,,,,,,,,,,,
7,11,,,,,,,,e,,,,,
7,12,,,,,,,,e,,,,,
7,13,,,,,,,,e,,,,,
7,14,,,,,,,,e,,,,,
7,15,,,,,,,,,,,,,
7,16,,,,,,,,,,,,,
7,17,,,,,,,,,,,,,
7,18,,,,,,,,,,,,,
7,19,,,,,,,,,,,,,
7,20,,e,,,,,,,,,,,
7,21,,e,,,,,,,,,,,
7,22,,,,,,,,,,,,,
7,23,,e,,,,,,,,,,,
7,24,,e,,,,,,,,,,,
7,25,,e,,,,,,,,,,,
7,26,,e,,,,,,,,,,,
7,27,,d,,,,,,,,,,,
7,28,,,,,,,,,,,,,
7,29,,e,,,,,,,,,,,
7,30,,e,,,,,,e,,,,,
7,31,,e,,,,,,,,,,,
7,32,,,,,,,,e,e,,,,
7,33,,,,,,,,,e,,,,
7,34,,d,,,,,,,,,,,
7,35,,"d, e",,,,,,"e, d",,,,,
7,36,,e,,,,,,"e, d",,,,,
7,37,,e,,,,,,,,,,,
7,38,,e,,,,,,,,,,,
7,39,,e,,,,,,,,,,,
7,40,,,,,,,,,,,,,
7,41,,,,,,,,e,,,,,
7,42,,,,,,,,e,e,,,,
7,43,,e,,,,,,d,e,,,,
7,44,,,,,,,,,e,,,,
7,45,,,,,,,,,e,,,,
7,46,,,,,,,,,,,,,
7,47,,d,,,,,,,,,,,
7,48,,,,,,,,e,,,,,
7,49,,e,,,,,,,,,,,
7,50,,e,,,,,,,,,,,
7,51,,e,,,,,,,,,,,
7,52,,,,,,,,,,,,,
7,53,,,,,,,,,,,,,
7,54,,e,,,,,,,,,,,
7,55,,e,,,,,,e,,,,,
7,56,,,,,,,,,,,,,
7,57,,"e, d",,,,,,,,,,,
7,58,,e,,,,,,,,,,,
7,59,,,,,,,,,,,,,
8,0,,e,,,,,,,,,,,
8,1,,,,,,,,,,,,,
8,2,,,,,,,,,,,,,
8,3,,,,,,,,,,,,,
8,4,,,,,,,,,,,,,
8,5,,"e, d",,,,,,e,,,,,
8,6,,e,,,,,,,,,,,
8,7,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,
8,9,,d,,,,,,,,,,,
8,10,,,,,,,,,,,,,
8,11,,,,,,,,,,,,,
8,12,,,,,,,,,,,,,
8,13,,,,,,,,,,,,,
8,14,,,,,,,,,,,,,
8,15,,,,,,,,,,,,,
8,16,,e,,,,,,,,,,,
8,17,,,,,,,,,,,,,
8,18,,,,,,,,,,,,,
8,19,,,,,,,,,,,,,
8,20,,,,,,,,,,,,,
8,21,,e,,,,,,,,,,,
8,22,,e,,,,,,d,,,,,
8,23,,,,,,,,,,,,,
8,24,,,,,,,,,,,,,
8,25,,d,,,,,,d,,,,,
8,26,,,,,,,,,,,,,
8,27,,,,,,,,,,,,,
8,28,,,,,,,,,,,,,
8,29,,,,,,,,,,,,,
8,30,,e,,,,,,d,,,,,
8,31,,d,,,,,,d,,,,,
8,32,,e,,,,,,,,,,,
8,33,,e,,,,,,,,,,,
8,34,,e,,,,,,e,,,,,
8,35,,e,,,,,,e,,,,,
8,36,,e,,,,,,,,,,,
8,37,,e,,,,,,e,,,,,
8,38,,,,,,,,e,,,,,
8,39,,,,,,,,,,e,,,
8,40,,,,,,,,,,"e, d",,e,
8,41,,,,,,,,,,,,e,
8,42,,,,,,,,,,,,e,
8,43,,,,,,,,,,,,d,
8,44,,,,,,,,,,,,,
8,45,,,,,,,,,,,,,
8,46,,,,,,,,,,,,,
8,47,,,,,,,,,,,,,
8,48,,,,,,,,e,,,,,
8,49,,,,,,,,e,,,,,
8,50,,,,,,,,e,,,,,
8,51,,,,,,,,e,,,,,
8,52,,,,,,,,,,,,,
8,53,,,,,,,,,,,,,
8,54,,,,,,,,,,,,,
8,55,,,,,,,,,,,,,
8,56,,,,,,,,,,,,,
8,57,,,,,,,,,,,,,
8,58,,,,,,,,,,,,,
8,59,,,,,,,,,,,,,
9,0,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,
9,2,,,e,,,,,,,,,,
9,3,,,"e, d",,,,,,,e,,,
9,4,,,,,,,,,,,,,
9,5,,,,,,,,,,,,,
9,6,,,e,,,,,,,,,,
9,7,,,e,,,,,,,,,,
9,8,,,"e, d",,,,,,,,,,
9,9,,,,,,,,,,,,,
9,10,,,,,,,,,,,,,
9,11,,,,,,,,,,,,,
9,12,,,,,,,,,,,,,
9,13,,,,,,,,,,,,,
9,14,,,,,,,,,,,,,
9,15,,,,,,,,,,,,,
9,16,,,,,,,,,,,,,
9,17,,,,,,,,,,,,,
9,18,,,,,,,,,,,,,
9,19,,,,,,,,,,,,,
9,20,,,,,,,,,,,,,
9,21,,,,,,,,,,,,,
9,22,,,,,,,,,,,,,
9,23,,,,,,,,,,,,,
9,24,,,,,,,,,,,,,
9,25,,,,,,,,,,,,,
9,26,,,,,,,,,,,,,
9,27,,,,,,,,,,,,,
9,28,,,,,,,,,,,,,
9,29,,,,,,,,,,,,,
9,30,,,,,,,,,,,,,
9,31,,,,,,,,,,,,,
9,32,,,,,,,,,,,,,
9,33,,,,,,,,,,,,,
9,34,,,,,,,,,,,,,
9,35,,,,,,,,,,,,,
9,36,,,,,,,,,,,,,
9,37,,,,,,,,,,,,,
9,38,,,,,,,,,,,,,
9,39,,,,,,,,,,,,,
9,40,,,,,,,,,,,,,
9,41,,,,,,,,,,,,,
9,42,,,,,,e,,,,,,,
9,43,,,,,,e,,,,,,,
9,44,,,,,,"d, e",,,,,,,
9,45,,,,,,e,,,,,,,
9,46,,,,,,e,,,,,,,
9,47,,,,,,,,,,,,,
9,48,,,,,,,,,,,,,
9,49,,,,,,,,,,,,,
9,50,,,,,,,,,,,,,
9,51,,,,,,,,,,,,,
9,52,,,,,,,,,,,,,
9,53,,,,,,,,,,,,,
9,54,,,,,,e,,,,,,,
9,55,,,,,,e,,,,,,,
9,56,,,,,,e,,,,,,,
9,57,,,,,,e,,,,,,,
9,58,,,,,,e,,,,,,,
9,59,,,,,,d,,,,,,,
10,0,,,,,,d,,,,,,,
10,1,,,,,,d,,,,,,,
10,2,,,,,,e,,,,,,,
10,3,,,,,,e,,,,,,,
10,4,,,,,,e,,,,,,,
10,5,,,,,,e,,,,,,,
10,6,,,,,,e,,,,,,,
10,7,,,,,,e,,,,,,,
10,8,,,,,,e,,,,,,,
10,9,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,
10,11,,,,,,,,,,,,,
10,12,,,,,,,,,,,,,
10,13,,,,,,,,,,,,,
10,14,,,,,,,,,,,,,
10,15,,,,,,,,,,,,,
10,16,,,,,,,,,,,,,
10,17,,,,,,,,,,,,,
10,18,,,,,,,,,,,,,
10,19,,,,,,,,,,,,,
10,20,,,,,,,,,,,,,
10,21,,,,,,,,,,,,,
10,22,,,,,,,,,,,,,
10,23,,,,,,,,,,,,,
10,24,,,,,,,,,,,,,
10,25,,,,,,,,,,,,,
10,26,,,,,,,,,,,,,
10,27,,,,,,,,,,,,,
10,28,,,,,,,,,,,,,
10,29,,,,,,,,,,,,,
10,30,,,,,,,,,,,,,
10,31,,,,,,,,,,,,,
10,32,e,,,,,,,,,,,,
10,33,"e, d",,,,,,,,,,,,
10,34,e,,,,,,,,,,,,
10,35,e,,,,,,,,,,,,
10,36,e,,,,,,,,,,,,
10,37,,,,,,,,,,,,,
10,38,,,,,,,,,,,,,
10,39,,,,,,,,,,,,,
10,40,,,,,,,,,,,,,
10,41,,,,,,,,,,,,,
10,42,,,,,,,,,,,,,
10,43,e,,,,,,,,,,,,
10,44,e,,,,,,,,,,,,
10,45,e,,,,,,,,,,,,
10,46,"e, d",,,,,,,,,,,,
10,47,d,,,,,,,,,,,,
10,48,,,,,,,,,,,,,
10,49,,,,,,,,,,,,,
10,50,d,,,,,,,,,,,,
10,51,,,,,,,,,,,,,
10,52,,,,,,,,,,,,,
10,53,,,,,,,,,"d, e",,,,
10,54,,,,,,,,,e,,,,
10,55,,,,,,,,,e,,,,
10,56,,,,,,,,,e,,,,
10,57,,,,,,,,,"e, d",,,,
10,58,,,,,,,,,e,,,,
10,59,,,,,,,,,e,,,,
11,0,,,,,,,,,"e, d",,,,
11,1,,,,,,,,,d,,,,
11,2,,,,,,,,,,e,,,
11,3,,,,,,,,,,e,,,
11,4,,,,,,,,,,e,,,
11,5,,,,,,,,,,e,,,
11,6,,,,,,,,,,e,,,
11,7,,,,,,,,,,e,,,
11,8,,,,,,,,,,e,,,
11,9,,,,,,,,,,e,,,
11,10,,,,,,,,,,"e, d",,,
11,11,,,,,,,,,,,,,
11,12,,,,,,,,,,,,,
11,13,,,,,,,,,,,,,
11,14,,,,,,,,,,,,,
11,15,,,,,,,,,,,,,
11,16,,,,,,,,,,d,,,
11,17,,,,,,,,,,,,,
11,18,,,,,,,,,,,,,
11,19,,,,,,,,,,,,,
11,20,,,,,,,,,,,,,
11,21,,,,,,,,,,,,,
11,22,,,,,,,,,,,,,
11,23,,,,,,,,,,,,,
11,24,,,,,,,,,,,,,
11,25,,,,,,,,,,,,,
11,26,,,,,,,,,,,,,
11,27,,,,,,,,,,,,,
11,28,,,,,,,,,,,,,
11,29,,,,,,,,,,,,,
11,30,,,,,,,,,,,,,
11,31,,,,,,,,,,,,,
11,32,,,,,,,,,,,,,
11,33,,,,,,,,,,,,,
11,34,,,,,,,,,,,,,
11,35,,,,,,,,,,,,,
11,36,,,,,,,,,,,,,
11,37,,,,,,,,,,,,,
11,38,,,,,,,,,,,,,
11,39,,,,,,,,,,,,,
11,40,,,,,,,,,,,,,
11,41,,,,,,,,,,,,,
11,42,,,,,,,,,,,,,
11,43,,,,,,,,,,,,,
11,44,,,,,,,,,,,,,
11,45,,,,,,,,,,,,,
11,46,,,,,,,,,,,,,
11,47,,,,,,,,,,,,,
11,48,,,,,,,,,,,,,
11,49,,,,,,,,,,,,,
11,50,,,,,,,,,,,,,
11,51,,,,,,,,,,,,,
11,52,,,,,,,,,,,,,
11,53,,,,,,,,,,,,,
11,54,,,,,,,,,,,,,
11,55,,,,,,,,,,,,,
11,56,,,,,,,,,,,,,
11,57,,,,,,,,,,,,,
11,58,,,,,,,,,,,,,
11,59,,,,,,,,,,,,,
12,0,,,,,,,,,,,,,
12,1,,,,,,,,,,,,,
12,2,,,,,,,,,,,,,
12,3,,,,,,,,,,,,,
12,4,,,,,,,,,,,,,
12,5,,e,,,,,,,,,,,
12,6,,e,,,,,,,,,,e,
12,7,,"d, e",,,,,,,,,,,
12,8,,e,,,,,,,,,,,
12,9,,,,,,,,,,,,,
12,10,,,,,,,,,,,,,
12,11,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,
12,13,,,,,,,,,,,,,
12,14,,d,,,,,,,,,,,
12,15,,,,,,,,,,,,,
12,16,,,,,,,,,,,,,
12,17,,,,,,,,,,,,,
12,18,,,,,,,,,,,,,
12,19,,,,,,,,,,,,,
12,20,,,,,,,,,,,,,
12,21,,,,,,,,,,,,e,
12,22,,,,,,,,,,,,e,
12,23,,,,,,,,,,,,,
12,24,,,,,,,,,,,,e,
12,25,,,,,,,,,,,,e,
12,26,,,,,,,,,,,,,
12,27,,,,,,,,,,,,,
12,28,,"e, d",,,,,,,,,,,
12,29,,"e, d",,,,,,,,,,,
12,30,,,,,,,,,,,,,
12,31,,,,,,,,,,,,,
12,32,,,,,,,,,,,,,
12,33,,d,,,,,,,,,,,
12,34,,,,,,,,,,,,,
12,35,,e,,,,,,,,,,,
12,36,,,,,,,,,,,,,
12,37,,e,,,,,,,,,,,
12,38,,e,,,,,,,,,,,
12,39,,e,,,,,,,,,,,
12,40,,,,,,d,,,,,,,
12,41,,,,,,e,,,,,,,
12,42,,,,,,,,,,,,,
12,43,,,,,,,,,,,,,
12,44,,,,,,,,,,,,,
12,45,,,,,,,,,,,,,
12,46,,,,,,,,,,,,,
12,47,,,,,,,,,,,,,
12,48,,,,,,,,,,,,,
12,49,,,,,,,,,,,,,
12,50,,,e,,,,,,,,,,
12,51,,,e,,,,,,,,,,
12,52,,,,,,,,,,,,,
12,53,,,d,,,,,,,d,,,
12,54,"e, d",,,,,,,,,e,,,
12,55,e,,,,,,,,,,,,
12,56,e,,e,,e,,,,,,,,
12,57,,,"e, d",,,,,,,,,,
12,58,,,"e, d",,,,,,,e,,,
12,59,,,"e, d",,,,,,,e,,,
13,0,,,e,,,,,,,"e, d",,,
13,1,,,d,,,,,,,e,,,
13,2,,,,,,,,,,,,,
13,3,,,e,,,,,,,,,,
13,4,,,e,,,,,,,,,,
13,5,,,e,,,,,,,,,,
13,6,,,d,,,,,,,,,,
13,7,,,,,,,,,,,,,
13,8,,,,,,,,,,,,,
13,9,,,e,,,,,,,,,,
13,10,,,e,,,,,,,,,,
13,11,,,d,,,,,,,,,,
13,12,,,e,,,,,,,,,,
13,13,,,e,,,,,,,,,,
13,14,,,e,,,,,,,,,,
13,15,,,e,,,,,,,,,,
13,16,,,"e, d",,,,,,,,,,
13,17,,,,,,,,,,,,,
13,18,,,,,,,,,,,,,
13,19,,,,,,,,,,,,,
13,20,,,,,,,,,,,,,
13,21,,,,,,,,,,,,,
13,22,,,,,,,,,,,,,
13,23,,,,,,,,,,,,,
13,24,,,,,,,,,,,,,
13,25,,,,,,,,,,,,,
13,26,,,,,,,,,,,,,
13,27,,,,,,,,,,,,,
13,28,,,,,,,,,,,,,
13,29,,,,,,,,,,,,,
13,30,,,,,,,,,,,,,
13,31,,,,,,,,,,,,,
13,32,,,,,,,,,,,,,
13,33,,,,,,,,,,,,,
13,34,,,,,,,,,,,,,
13,35,,,,,,,,,,,,,
13,36,,,,,,,,,,,,,
13,37,,,,,,,,,,,,,
13,38,,,,,,,,,,,,,
13,39,,,,,,,,,,,,,
13,40,,,,,,,,,,,,,
13,41,,,,,,,,,,,,,
13,42,,,,,,,,,,,,,
13,43,,,,,,,,,,,,,
13,44,,,,,,,,,,,,,
13,45,,,,,,,,,,,,,
13,46,,,,,,,,,,,,,
13,47,,,,,,,,,,,,,
13,48,,,,,,,,,,,,,
13,49,,,,,,,,,,,,,
13,50,,,,,,,,,,,,,
13,51,,,,,,,,,,,,,
13,52,,,,,,,,,,"d, e",,,
13,53,,,,,,,,,,e,,,
13,54,,,,,,,,,,e,,,
13,55,,,,,,,,,,,,,
13,56,,,,,,,,,,,,,
13,57,,,,,,,,,,,,,
13,58,,,,,,,,,,,,,
13,59,,,,,,,,,,,,,
14,0,,,,,,,,,,,,,
14,1,,,,,,,,,,,,,
