Timestamp,Actor,Behavior,Recipient,Location,Observer,Outside assigned observation time
9/3/2015 13:14:00,2,"Fighting, Chasing",4,"LL, LR, NB3",CW,
9/3/2015 13:25:00,2,Fighting,"6, 8",NB5,CW,
9/3/2015 13:25:00,2,Fighting,12,NB3,CW,
9/3/2015 13:34:00,2,Chasing,6,"LR, NB3, NB4",CW,
9/3/2015 13:35:00,2,Chasing,9,"UR, MR, LR",CW,
9/3/2015 13:46:00,2,Fighting,6,NB3,CW,
9/3/2015 13:47:00,2,Chasing,10,UR,CW,
9/3/2015 13:50:00,2,"Fighting, Chasing",10,"UL, UR",CW,
9/3/2015 13:55:00,2,Chasing,4,UR,CW,
9/3/2015 13:58:00,2,Fighting,6,NB3,CW,
9/3/2015 15:35:00,2,"Fighting, Chasing",11,NB5,WL,
9/3/2015 15:40:00,2,Chasing,8,LR,WL,
9/3/2015 15:43:00,2,"Fighting, Chasing",1,UL,WL,
9/3/2015 15:46:00,2,Induce-flee,1,MR,WL,
9/3/2015 15:48:00,2,Chasing,10,UL,WL,
9/3/2015 15:50:00,8,"Fighting, Subordinate",10,NB4,WL,
9/3/2015 15:51:00,8,"Fighting, Subordinate",11,NB4,WL,
9/3/2015 15:58:00,2,Chasing,9,NB5,WL,
9/3/2015 16:00:00,2,Chasing,"10, 11",UL,WL,
9/3/2015 16:01:00,2,Fighting,10,NB5,WL,
9/3/2015 16:12:00,2,Fighting,1,NB4,WL,
9/3/2015 16:26:00,2,"Fighting, Chasing",11,UL,WL,
9/4/2015 16:36:00,2,Fighting,12,NB3,WL,
9/4/2015 16:41:00,2,Fighting,7,NB5,WL,
9/4/2015 16:44:00,2,"Fighting, Chasing",9,UR,WL,
9/4/2015 16:47:00,2,Fighting,1,NB3,WL,
9/4/2015 16:53:00,2,Chasing,"6, 9",UL,WL,
9/4/2015 17:13:00,2,Induce-flee,6,UL,WL,
9/4/2015 17:13:00,2,Chasing,10,UR,WL,
9/4/2015 17:13:00,2,Chasing,7,UL,WL,
9/4/2015 17:17:00,2,Fighting,6,NB4,WL,
9/4/2015 17:18:00,2,"Fighting, Chasing",3,NB5,WL,
9/4/2015 17:21:00,2,Chasing,11,LR,WL,
9/4/2015 17:21:00,2,"Fighting, Chasing",11,UL,WL,
9/4/2015 17:23:00,8,Subordinate,1,NB4,WL,
9/4/2015 17:24:00,2,"Fighting, Chasing",1,UL,WL,
9/4/2015 17:27:00,2,Subordinate,3,UL,WL,
9/4/2015 17:27:00,2,Chasing,8,UL,WL,
9/4/2015 17:28:00,2,Induce-flee,8,UL,WL,
9/4/2015 17:29:00,2,Induce-flee,3,UR,WL,
9/4/2015 17:29:00,2,Chasing,7,UL,WL,
9/5/2015 12:06:00,2,Fighting,4,MR,TN,
9/5/2015 12:06:00,2,Chasing,8,"UL, UR",TN,
9/5/2015 12:10:00,2,Induce-flee,10,"UR, MR",TN,
9/5/2015 12:13:00,2,Chasing,10,MR,TN,
9/5/2015 12:21:00,2,"Fighting, Chasing",10,"UL, UR",TN,
9/5/2015 12:24:00,2,Chasing,10,"UL, UR",TN,
9/5/2015 12:26:00,2,Fighting,7,UR,TN,
9/5/2015 12:35:00,2,"Fighting, Chasing",7,"UR, MR, LR",TN,
9/5/2015 12:38:00,2,Chasing,6,"NB1, NB4, NB5",TN,
9/5/2015 12:42:00,2,Fighting,7,"UR, MR",TN,
9/5/2015 12:48:00,2,Chasing,4,"UL, UR",TN,
9/5/2015 12:51:00,2,Fighting,4,NB4,TN,
9/5/2015 15:02:00,5,Fighting,10,NB4,BN,
9/5/2015 15:04:00,2,Fighting,4,UL,BN,
9/5/2015 15:05:00,2,Fighting,4,UL,BN,
9/5/2015 15:09:00,2,Fighting,1,MR,BN,
9/5/2015 15:10:00,2,Fighting,4,NB5,BN,
9/5/2015 15:16:00,2,Chasing,5,UL,BN,
9/5/2015 15:24:00,2,Fighting,6,NB5,BN,
9/5/2015 15:26:00,2,Fighting,6,NB3,BN,
9/5/2015 15:51:00,2,Chasing,3,"UL, UR",BN,
9/5/2015 15:53:00,2,Fighting,6,"NB4, NB5",BN,
9/6/2015 12:03:00,8,Chasing,1,"UL, UR",CW,
9/6/2015 12:04:00,8,Chasing,3,"UL, UR",CW,
9/6/2015 12:06:00,8,Fighting,"3, 4",NB4,CW,
