Timestamp,Actor,Behavior,Recipient,Location,Observer,Comment,Outside assigned observation time
7/19/2016 18:19:48,7,"Fighting, Chasing",12,NB2,WL,,
7/19/2016 18:27:53,End,End,End,End,WL,,
7/20/2016 13:07:11,Start,Start,Start,Start,CW,Cyrus obv2,
7/20/2016 13:32:55,3,Subordinate,12,NB3,CW,Very quiet ~30mins,
7/20/2016 13:54:00,11,Chasing,12,LL,CW,,
7/20/2016 14:05:10,3,Chasing,2,MR,CW,,
7/20/2016 14:05:48,End,End,End,End,CW,Uneventful session,
7/20/2016 14:06:24,4,Fighting,6,NB3,CW,,Yes
7/20/2016 16:35:40,Start,Start,Start,Start,MKS,,
7/20/2016 16:37:29,6,Induce-flee,11,UL,MKS,,
7/20/2016 16:37:39,6,Induce-flee,8,UL,MKS,,
7/20/2016 16:38:13,3,"Fighting, Chasing",11,ML,MKS,,
7/20/2016 16:43:29,11,Chasing,8,UR,MKS,,
7/20/2016 16:43:47,3,Fighting,8,LR,MKS,,
7/20/2016 16:44:35,3,"Fighting, Chasing",10,LR,MKS,,
7/20/2016 16:45:55,11,"Fighting, Chasing",8,LL,MKS,,
7/20/2016 16:46:23,3,Induce-flee,11,ML,MKS,,
7/20/2016 16:46:37,3,Chasing,6,ML,MKS,,
7/20/2016 16:47:39,3,Fighting,4,UL,MKS,,
7/20/2016 17:02:09,7,"Fighting, Chasing",10,NB3,MKS,,
7/20/2016 17:06:22,3,"Fighting, Chasing",7,LR,MKS,,
7/20/2016 17:12:19,3,Chasing,4,LR,MKS,,
7/20/2016 17:15:52,6,"Fighting, Chasing",4,UR,MKS,,
7/20/2016 17:22:28,3,Induce-flee,9,LR,MKS,,
7/20/2016 17:23:44,3,"Fighting, Chasing",10,NB1,MKS,,
7/20/2016 17:24:02,3,Chasing,12,UR,MKS,,
7/20/2016 17:27:15,5,Fighting,4,NB2,MKS,,
7/20/2016 17:27:36,3,Chasing,12,LR,MKS,,
7/20/2016 17:32:50,10,"Fighting, Chasing",4,LR,MKS,,
7/20/2016 17:33:11,3,Chasing,5,UR,MKS,,
7/20/2016 17:33:48,3,Induce-flee,6,LL,MKS,,
7/20/2016 17:34:17,9,Induce-flee,4,ML,MKS,,
7/20/2016 17:34:36,9,Fighting,2,UL,MKS,,
7/20/2016 17:35:03,End,End,End,End,MKS,,
7/20/2016 19:27:19,10,"Fighting, Chasing",12,NB5,WL,Prolonged intense,Yes
7/21/2016 12:02:37,Start,Start,Start,Start,WL,Cyrus_obv3,
7/21/2016 12:09:18,7,Chasing,10,NB5,WL,,
7/21/2016 12:10:09,7,Chasing,5,MR,WL,,
7/21/2016 12:10:49,3,Chasing,12,LL,WL,,
7/21/2016 12:11:37,7,"Fighting, Chasing",5,NB5,WL,,
7/21/2016 12:15:29,3,Chasing,12,MR,WL,,
7/21/2016 12:15:55,3,"Fighting, Chasing",12,NB1,WL,,
7/21/2016 12:19:48,3,"Fighting, Chasing",9,LL,WL,,
7/21/2016 12:21:46,10,Chasing,9,ML,WL,,
7/21/2016 12:23:19,9,Chasing,10,MR,WL,,
7/21/2016 12:34:47,10,Chasing,9,LR,WL,,
7/21/2016 12:35:18,10,Subordinate,9,LR,WL,,
7/21/2016 12:38:23,7,"Fighting, Chasing",9,NB5,WL,,
7/21/2016 12:40:52,3,Subordinate,12,MR,WL,,
7/21/2016 12:42:22,3,Chasing,10,LL,WL,,
7/21/2016 12:43:48,3,"Fighting, Chasing",11,MR,WL,,
7/21/2016 12:46:41,3,Induce-flee,12,UR,WL,,
7/21/2016 12:47:01,3,Subordinate,5,UL,WL,,
7/21/2016 12:47:28,3,"Fighting, Chasing",11,UL,WL,,
7/21/2016 12:48:52,10,Subordinate,12,MR,WL,,
7/21/2016 12:49:23,3,Chasing,11,UL,WL,,
7/21/2016 12:50:07,7,"Fighting, Chasing",10,NB5,WL,,
7/21/2016 12:50:51,3,Chasing,12,LR,WL,,
7/21/2016 12:51:10,3,Subordinate,12,MR,WL,,
7/21/2016 12:51:46,3,Chasing,5,UL,WL,,
7/21/2016 12:52:37,3,Chasing,5,UR,WL,,
7/21/2016 12:53:19,7,Chasing,12,ML,WL,,
7/21/2016 12:53:34,3,"Fighting, Chasing",5,MR,WL,,
7/21/2016 12:54:01,3,Subordinate,5,ML,WL,,
7/21/2016 12:54:28,3,Chasing,12,UR,WL,,
7/21/2016 12:54:41,3,Chasing,5,UL,WL,,
7/21/2016 12:55:38,3,Chasing,6,UR,WL,,
7/21/2016 12:59:17,5,Induce-flee,11,MR,WL,,
7/21/2016 13:00:10,3,Chasing,11,UR,WL,,
7/21/2016 13:03:59,End,End,End,End,WL,Cyrus_obv3_end,
7/21/2016 17:30:51,Start,Start,Start,Start,RH,,
7/21/2016 17:34:13,3,"Fighting, Chasing",5,LR,RH,,
7/21/2016 17:36:13,3,"Fighting, Chasing",11,LL,RH,,
7/21/2016 17:38:14,3,"Fighting, Chasing",5,UR,RH,,
7/21/2016 17:43:11,5,"Fighting, Chasing",10,LR,RH,,
7/21/2016 17:44:15,9,"Fighting, Chasing",12,UR,RH,,
7/21/2016 17:56:50,9,"Fighting, Chasing",12,UL,RH,,
7/21/2016 17:58:24,3,"Fighting, Chasing",12,ML,RH,,
7/21/2016 18:05:44,11,Chasing,12,UL,RH, out wandering and interacting no aggressively ,
7/21/2016 18:06:55,9,Chasing,12,LL,RH,My last comment accidentally was distorted. Most of the mice for the past 25 minutes have been sleeping in nb2 but some are still out interacting nonaggressively. ,
7/21/2016 18:07:14,9,"Fighting, Chasing",10,LL,RH,,
7/21/2016 18:08:26,11,"Fighting, Chasing",4,UL,RH,,
7/21/2016 18:08:44,9,"Fighting, Chasing",12,LL,RH,,
7/21/2016 18:09:06,3,"Fighting, Chasing",12,LL,RH,,
7/21/2016 18:10:21,9,"Fighting, Chasing",10,LL,RH,,
7/21/2016 18:10:33,3,"Fighting, Chasing",9,LR,RH,,
7/21/2016 18:14:08,3,Chasing,12,ML,RH,,
7/21/2016 18:20:08,3,"Fighting, Chasing",4,UR,RH,,
7/21/2016 18:20:41,3,"Fighting, Chasing",4,LL,RH,,
7/21/2016 18:21:36,7,Fighting,4,NB5,RH,,
7/21/2016 18:22:28,11,"Fighting, Chasing",10,LR,RH,,
7/21/2016 18:23:25,11,"Fighting, Mounting",10,LL,RH,,
7/21/2016 18:25:10,3,"Fighting, Chasing",4,LL,RH,,
7/21/2016 18:25:39,3,"Fighting, Chasing",2,UR,RH,,
7/21/2016 18:25:53,3,"Fighting, Chasing",4,UR,RH,,
7/21/2016 18:26:28,11,Fighting,8,LR,RH,,
7/21/2016 18:30:32,3,"Fighting, Chasing",5,NB3,RH,,
7/21/2016 18:30:45,End,End,End,End,RH,,
7/22/2016 14:07:54,Start,Start,Start,Start,MKS,,
7/22/2016 14:08:29,3,"Fighting, Chasing",2,LR,MKS,,
7/22/2016 14:08:47,5,Chasing,10,UL,MKS,,
7/22/2016 14:10:12,3,Fighting,7,NB3,MKS,,
7/22/2016 14:10:58,4,Chasing,5,UL,MKS,,
7/22/2016 14:12:34,3,"Fighting, Chasing",2,LR,MKS,,
7/22/2016 14:14:12,9,"Fighting, Chasing",12,LR,MKS,,
7/22/2016 14:15:35,3,"Fighting, Chasing",5,LL,MKS,,
7/22/2016 14:22:34,3,Fighting,4,UR,MKS,,
7/22/2016 14:39:01,3,Induce-flee,2,NB2,MKS,"Mice went to sleep, some fighting in nb3 but they're huddled up so I can't tell who's fighting who",
7/22/2016 14:48:57,4,"Fighting, Chasing",8,UR,MKS,,
7/22/2016 14:52:34,3,Fighting,8,LR,MKS,,
7/22/2016 14:54:47,3,Chasing,4,ML,MKS,,
7/22/2016 14:55:01,3,"Fighting, Chasing",4,UR,MKS,,
7/22/2016 14:55:30,3,Induce-flee,8,UL,MKS,,
7/22/2016 15:02:17,3,"Fighting, Chasing",4,UL,MKS,,
7/22/2016 15:02:45,3,"Fighting, Chasing",4,NB1,MKS,,
7/22/2016 15:07:35,End,End,End,End,MKS,,
7/23/2016 19:54:54,Start,Start,Start,Start,GR,,
7/23/2016 20:34:20,5,Induce-flee,11,UR,GR,,
7/23/2016 20:41:08,5,Fighting,11,NB5,GR,,
7/23/2016 20:56:01,End,End,End,End,GR,The didnt do much and stayed mostly on nb5,
