Timestamp,Actor,Behavior,Recipient,Location,Observer
10/15/2015 13:22:00,3,Fighting,12,UR,TN
10/15/2015 13:22:00,10,Fighting,3,"UL, ML, UR",TN
10/15/2015 13:23:00,10,Fighting,"3, 5","ML, MR, LR",TN
10/15/2015 13:25:00,10,Chasing,9,"MR, LR",TN
10/15/2015 13:26:00,10,Fighting,8,LR,TN
10/15/2015 13:27:00,10,Chasing,2,"UL, ML",TN
10/15/2015 13:28:00,10,Chasing,12,"UR, MR, LR",TN
10/15/2015 13:31:00,10,Chasing,9,UR,TN
10/15/2015 13:36:00,3,Chasing,9,"ML, LL",TN
10/15/2015 13:41:00,10,Chasing,3,"LR, NB3, NB4, NB5",TN
10/15/2015 13:44:00,10,Chasing,12,"ML, LL",TN
10/15/2015 13:45:00,10,Chasing,1,"UL, ML, LL, LR",TN
10/16/2015 12:41:00,10,Chasing,3,"UL, ML, LL, UR",CC
10/16/2015 12:42:00,10,"Chasing, Mounting",3,"UL, UR",CC
10/16/2015 12:45:00,3,Fighting,12,UL,CC
10/16/2015 12:46:00,10,"Fighting, Chasing",3,"UR, MR",CC
10/16/2015 12:47:00,3,Fighting,8,UL,CC
10/16/2015 12:48:00,10,Fighting,5,"UL, UR",CC
10/16/2015 12:49:00,10,"Fighting, Chasing",3,"UL, ML, LL, LR",CC
10/16/2015 12:54:00,3,Mounting,12,UR,CC
10/16/2015 12:56:00,10,Chasing,11,"ML, UR, MR",CC
10/16/2015 12:56:00,3,Chasing,12,"UR, MR",CC
10/16/2015 12:57:00,3,Fighting,5,UR,CC
10/16/2015 12:58:00,10,Induce-flee,3,UR,CC
10/16/2015 12:58:00,10,Chasing,3,"UL, UR",CC
10/16/2015 12:59:00,10,Chasing,3,"UL, UR",CC
10/16/2015 13:00:00,8,Fighting,11,LR,CC
10/16/2015 13:05:00,3,"Fighting, Mounting",12,UR,CC
10/16/2015 13:06:00,3,"Fighting, Chasing",12,"UL, ML, LL, UR",CC
10/16/2015 13:07:00,10,Chasing,2,"LL, LR",CC
10/16/2015 13:07:00,3,Fighting,12,"UL, ML",CC
10/16/2015 13:09:00,10,Chasing,5,"MR, LR",CC
10/16/2015 13:10:00,3,"Fighting, Chasing, Mounting",12,"UL, ML",CC
10/16/2015 13:10:00,10,Chasing,3,"UL, UR",CC
10/16/2015 13:11:00,3,Fighting,12,UR,CC
10/16/2015 13:12:00,10,Induce-flee,3,"UL, UR",CC
10/16/2015 13:13:00,10,Chasing,4,"MR, LR",CC
10/16/2015 13:14:00,10,Chasing,2,"UL, ML, LL",CC
10/16/2015 13:16:00,10,"Fighting, Chasing",3,"UL, ML, LL, LR",CC
10/16/2015 13:18:00,10,Fighting,3,UR,CC
10/16/2015 13:18:00,3,Chasing,2,"UL, ML, LL, UR",CC
10/16/2015 13:20:00,10,"Fighting, Chasing",3,"UL, UR",CC
10/16/2015 13:22:00,3,"Fighting, Chasing",12,"UR, MR, LR",CC
10/16/2015 13:23:00,10,"Fighting, Chasing",1,"NB1, NB2, NB5",CC
10/16/2015 13:27:00,10,Chasing,3,"LL, LR",CC
10/16/2015 13:30:00,3,Fighting,5,LR,CC
10/16/2015 13:32:00,10,Chasing,2,"UL, ML, LL",CC
10/16/2015 13:32:00,3,Mounting,12,UR,CC
10/16/2015 13:36:00,3,Chasing,6,"UR, MR, LR",CC
10/16/2015 13:40:00,10,Chasing,8,"MR, LR",CC
10/16/2015 13:41:00,10,"Fighting, Chasing",3,"UL, ML",CC
10/16/2015 13:44:00,1,Fighting,3,NB5,CC
10/16/2015 13:46:00,10,Chasing,3,"UL, ML, LL",CC
10/16/2015 13:49:00,3,Induce-flee,7,LL,CC
10/16/2015 13:51:00,3,Chasing,2,"LL, LR",CC
10/16/2015 13:55:00,2,Fighting,5,LR,CC
10/16/2015 13:58:00,3,Chasing,12,"LL, LR",CC
10/16/2015 14:01:00,3,Chasing,5,"ML, LL",CC
10/16/2015 14:01:00,3,Chasing,2,"LL, LR",CC
10/16/2015 14:02:00,3,Fighting,12,UR,CC
10/16/2015 14:07:00,3,Fighting,2,"MR, LR",CC
10/16/2015 14:07:00,3,Fighting,5,LR,CC
10/16/2015 14:08:00,3,Fighting,12,"LL, LR",CC
10/16/2015 14:08:00,3,Fighting,5,"UR, MR, LR",CC
10/16/2015 14:08:00,3,Fighting,12,UR,CC
10/16/2015 14:10:00,3,Mounting,10,LR,CC
10/16/2015 14:10:00,3,Fighting,5,LR,CC
10/16/2015 14:11:00,10,"Fighting, Chasing",5,"NB1, NB5",CC
10/16/2015 14:12:00,3,"Fighting, Chasing",9,"UR, MR, LR",CC
10/16/2015 14:21:00,10,Induce-flee,2,"LL, LR",CC
10/16/2015 14:25:00,10,Chasing,8,"UL, ML, LL",CC
10/16/2015 14:26:00,10,Fighting,11,MR,CC
10/17/2015 20:00:00,2,Chasing,7,LL,AR
10/17/2015 20:37:00,10,"Fighting, Chasing",3,ML,AR
10/17/2015 20:52:00,4,Chasing,8,LL,AR
10/17/2015 20:57:00,8,"Fighting, Chasing",10,LL,AR
10/17/2015 20:59:00,8,Chasing,4,LR,AR
10/19/2015 14:12:00,12,Chasing,8,"UL, ML, LL, LR",MT
10/19/2015 14:15:00,2,Chasing,11,"NB4, NB5",MT
10/19/2015 14:19:00,10,"Fighting, Chasing",12,"LL, LR",MT
10/19/2015 14:21:00,12,Induce-flee,2,LL,MT
10/19/2015 14:22:00,10,"Fighting, Chasing, Subordinate",3,"UL, UR",MT
10/19/2015 14:24:00,10,"Fighting, Chasing",3,UR,MT
10/19/2015 14:25:00,10,"Fighting, Chasing",9,"UR, MR, LR",MT
10/19/2015 14:30:00,10,"Fighting, Chasing",3,"UR, MR, LR",MT
10/19/2015 14:43:00,10,Induce-flee,9,UR,MT
10/19/2015 14:45:00,10,Fighting,9,LR,MT
10/19/2015 14:45:00,10,Fighting,8,LR,MT
10/19/2015 14:55:00,10,Subordinate,5,LR,MT
10/19/2015 14:57:00,10,Chasing,3,"UL, ML, UR",MT
10/19/2015 14:58:00,10,"Fighting, Chasing",5,"UL, ML, LL, LR",MT
10/19/2015 15:00:00,10,Chasing,3,UL,MT
10/19/2015 15:03:00,10,Subordinate,5,LR,MT
10/19/2015 15:09:00,10,"Fighting, Chasing",3,"UL, UR",MT
10/19/2015 15:11:00,7,Chasing,6,"MR, LR",MT
10/19/2015 15:15:00,5,Induce-flee,7,LR,MT
10/19/2015 15:15:00,10,Fighting,7,LR,MT
10/19/2015 15:16:00,10,"Fighting, Chasing",3,"UL, ML, UR",MT
10/19/2015 15:22:00,10,Chasing,4,"UL, ML",MT
10/19/2015 15:22:00,10,"Fighting, Chasing",5,"UL, ML, UR",MT
10/19/2015 15:22:00,8,"Fighting, Chasing",4,"LL, LR",MT
10/19/2015 15:28:00,5,Chasing,6,"LL, LR",MT
10/19/2015 15:28:00,5,Subordinate,8,LR,MT
10/19/2015 15:30:00,8,"Fighting, Chasing",4,"LL, LR",MT
10/19/2015 15:31:00,8,"Fighting, Chasing",4,"LL, LR",MT
10/19/2015 15:31:00,8,Fighting,5,LR,MT
10/19/2015 15:35:00,3,Chasing,6,"LL, LR",MT
10/19/2015 15:35:00,3,"Fighting, Chasing",5,LR,MT
10/19/2015 15:41:00,3,Chasing,12,"UL, ML, LL",MT
10/19/2015 15:54:00,10,"Fighting, Chasing",3,"UL, ML, UR",MT
10/19/2015 15:58:00,3,Chasing,12,"UR, MR, LR",MT
10/20/2015 17:10:00,3,Fighting,6,LR,BN
10/20/2015 17:54:00,1,Fighting,8,"NB4, NB5",BN
10/20/2015 18:04:00,8,Chasing,4,ML,BN
10/20/2015 18:04:00,8,Chasing,1,UL,BN
10/20/2015 18:21:00,9,Fighting,7,"LL, LR",BN
